id,item_id,transaction_id,transaction_type,transaction_number,reference_number,transaction_date,status,item_name,account_id,product_id,product_name,description,quantity_ordered,quantity_invoiced,quantity_cancelled,bcy_item_price,fcy_item_price,bcy_total,customer_name,salesperson_name,customer_id,currency_code,currency_id,project_id,status.1,invoice.CF.End  User
5451002,5129413000000980000,5129413000000990000,invoice,INV-000376,,2024-11-08,paid,"Amaze 240V, 400W Heater",5129413000000080000,5129413000000100000,Bitdefender Gravityzone Email Security Private Renewal 1 Year,,108,0,0,0,0,317755.22,Manage IT Limited,Others,5129413000000950000,USD,5129413000000000000,,active,Consumer
6046429,5129413000000980000,5129413000000990000,invoice,INV-000368,,2024-11-08,sent,Bitdefender GravityZone Business Security Private Renewal 1 Year,5129413000000080000,5129413000000100000,Bitdefender Gravityzone Business Security Private Initial 1 year,,5,0,0,0,0,366330.97,Simplify IT,Others,5129413000000950000,USD,5129413000000080000,,active,COPYCAT
11509909,5129413000000990000,5129413000000990000,invoice,INV-000376,,2024-11-06,sent,Bitdefender GravityZone Business Security Public Renewal 1 Year,5129413000000080000,5129413000000100000,Bitdefender GravityZone Business Security Public Renewal 1 Year,,189,0,0,0,0,790024.66,SyncIT Solutions Ltd,Others,5129413000000110000,USD,5129413000000080000,,active, Kings Ophthalmics Ltd
7602670,5129413000000990000,5129413000000990000,invoice,INV-000371,,2024-11-07,sent,Bitdefender GravityZone Business Security Public Renewal 1 Year,5129413000000080000,5129413000000100000,Bitdefender Mobile Security Private Initial 2 years,,63,0,0,0,0,676899.31,XC Three Sixty EA Ltd,Others,5129413000000140000,KES,5129413000000000000,,active,Centenary
5066721,5129413000000990000,5129413000000990000,invoice,INV-000370,,2024-11-06,sent,Bitdefender GravityZone Business Security Private Renewal 1 Year,5129413000000080000,,Bitdefender GravityZone Business Security Private Renewal 1 Year,,52,0,0,0,0,9112.03,XC Three Sixty EA Ltd,Others,5129413000000120000,USD,5129413000000080000,,active,Sundries Bargains (Nairobi) Ltd
316698,5129413000000990000,5129413000000990000,invoice,INV-000374,,2024-11-07,sent,Bitdefender GravityZone Business Security Private Renewal 1 Year,5129413000000080000,5129413000000100000,Bitdefender GravityZone Business Security Private Initial 2 years,,5,0,0,0,0,486697.46,Simplify IT,Others,5129413000000120000,USD,5129413000000000000,,active,Centenary
7651665,5129413000000980000,5129413000000980000,invoice,INV-000373,,2024-11-07,sent,Bitdefender GravityZone Business Security Private Initial 2 years,5129413000000080000,5129413000000100000,Bitdefender GravityZone Business Security Private Initial 2 years,,34,0,0,0,0,9112.03,Southend Tech Limited,Others,5129413000000660000,USD,5129413000000000000,,active, Kings Ophthalmics Ltd
4488593,5129413000000980000,5129413000000990000,invoice,INV-000376,,2024-11-08,sent,Bitdefender Gravityzone Business Security Premium Private Initial 1 year,5129413000000080000,,Bitdefender GravityZone Business Security Private Renewal 1 Year,,5,0,0,0,0,9112.03,XC Three Sixty EA Ltd,Others,5129413000000120000,USD,5129413000000000000,,active,Jamii Sacco Society Ltd
1490125,5129413000000990000,5129413000000990000,invoice,INV-000374,,2024-11-06,paid,"Amaze 240V, 400W Heater",5129413000000080000,5129413000000100000,Bitdefender Gravityzone Email Security Private Renewal 1 Year,,5,0,0,0,0,9112.03,Southend Tech Limited,Others,5129413000000660000,KES,5129413000000080000,,active,Consumer
12336541,5129413000000990000,5129413000000990000,invoice,INV-000376,,2024-11-05,sent,Bitdefender GravityZone Business Security Private Renewal 1 Year,5129413000000080000,5129413000000100000,Bitdefender GravityZone Business Security Private Initial 2 years,,394,0,0,0,0,9112.03,Manage IT Limited,Others,5129413000000950000,KES,5129413000000000000,,active,COPYCAT
16444631,5129413000000990000,5129413000000990000,invoice,INV-000375,,2024-11-05,sent,Bitdefender Gravityzone Business Security Premium Private Initial 1 year,5129413000000080000,5129413000000110000,Bitdefender Mobile Security Private Initial 2 years,,174,0,0,0,0,711725.23,CloudTimes Kenya Ltd,Others,5129413000000110000,USD,5129413000000000000,,active,COPYCAT
10409262,5129413000000950000,5129413000000990000,invoice,INV-000376,,2024-11-07,sent,Bitdefender GravityZone Business Security Private Renewal 1 Year,5129413000000080000,5129413000000100000,Bitdefender Gravityzone Business Security Premium Private Initial 1 year,,134,0,0,0,0,85747.33,Mogod Healthcare,Others,5129413000000110000,KES,5129413000000000000,,active,Imexolutions Ltd
4562499,5129413000000990000,5129413000000990000,invoice,INV-000372,,2024-11-06,sent,Bitdefender Gravityzone Business Security Private Initial 1 year,5129413000000080000,5129413000000100000,Bitdefender Gravityzone Email Security Private Renewal 1 Year,,210,0,0,0,0,9112.03,Sight and Sound Computers Limited,Others,5129413000000110000,USD,5129413000000080000,,active,Healthy U
2779316,5129413000000950000,5129413000000980000,invoice,INV-000369,,2024-11-06,sent,Bitdefender Gravityzone Business Security Premium Private Initial 1 year,5129413000000080000,5129413000000100000,Bitdefender Mobile Security Private Initial 2 years,,303,0,0,0,0,775015.71,Copy Cat Ltd.,Others,5129413000000110000,USD,5129413000000080000,,active,Healthy U
176821,5129413000000990000,5129413000000950000,invoice,INV-000373,,2024-11-07,sent,Bitdefender GravityZone Business Security Private Initial 2 years,5129413000000080000,5129413000000100000,Bitdefender GravityZone Business Security Public Renewal 1 Year,,94,0,0,0,0,176496.5,Southend Tech Limited,Others,5129413000000950000,KES,5129413000000000000,,active, Kings Ophthalmics Ltd
15781266,5129413000000990000,5129413000000980000,invoice,INV-000369,,2024-11-05,sent,Bitdefender GravityZone Business Security Private Initial 2 years,5129413000000080000,5129413000000100000,Bitdefender GravityZone Business Security Private Renewal 1 Year,,345,0,0,0,0,9112.03,CloudTimes Kenya Ltd,Others,5129413000000950000,USD,5129413000000000000,,active,Jamii Sacco Society Ltd
13752361,5129413000000990000,5129413000000990000,invoice,INV-000376,,2024-11-08,sent,Bitdefender GravityZone Business Security Private Renewal 1 Year,5129413000000080000,5129413000000100000,Bitdefender Gravityzone Business Security Premium Private Initial 1 year,,480,0,0,0,0,852157.6,XC Three Sixty EA Ltd,Others,5129413000000110000,USD,5129413000000000000,,active,Imexolutions Ltd
13208920,5129413000000990000,5129413000000980000,invoice,INV-000374,,2024-11-08,sent,Bitdefender GravityZone Business Security Private Renewal 1 Year,5129413000000080000,5129413000000100000,Bitdefender Gravityzone Business Security Private Initial 1 year,,88,0,0,0,0,377997.11,Simplify IT,Others,5129413000000140000,KES,5129413000000000000,,active,Imexolutions Ltd
